date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r_LH_lag,r_on,r_FH,r_LH
4/24/07,-0.003104752,-0.003644954,-0.00270106,-0.002093887,-0.003919449,-0.003782761,-0.001624915,-0.000609715,-0.000947931,-0.000879924,0.001424695,0.000203417,0.000881595,0.000881236,0.001219925,6.77E-05,0.000135492,0.001762592,0.001490616,0.000677277,0.000744602,0.001219347,0.001219264,0.000338364,0.000202963,0.00142132,0.001149892,0.001691475,0.001826669,0.002232445,0.001893939,0.000675858,6.76E-05,-0.000810537,-0.000675311,-0.001147486,-0.001687821,-0.001013103,-0.001080935,-0.000337998,-0.001081227,-0.000743344,0.000811524,0.000811304,0.000743947,0.001014336,0.001217697,0.001352539,0.000608149,0.001080862,0.002230182,0.001486185,0.001351351,0.001215641,0.000810373,0.000607328,-0.000876601,-0.000944351,-0.000674764,-0.000809444,-6.75E-05,-0.0006744,6.75E-05,0.000202552,0.000472654,6.75E-05,NA,NA,-0.000742491,-0.000675037
4/25/07,-0.001881341,-0.001479787,-0.00262326,-0.002085857,-0.001211713,-0.001077078,-0.000605857,0.000134725,0.00094416,0.001348527,0.000404394,-0.00013478,0.000471507,0.000875598,0.001145398,0.000269342,0.000875834,0.001347981,0.000740591,-0.000403769,0,0.000807809,0.001480883,0.002086559,0.00100915,0.001346439,0.001278686,0.000672631,-0.000134427,-0.000604514,-0.000470462,-0.000134463,0,0.000201654,0.000134445,6.72E-05,0.000336202,0.000470683,0.000336067,0.001209677,0.00120984,0.000604839,0.000806614,0.000537671,0.000403145,-6.71E-05,-6.71E-05,0.001141783,0.000940291,0.002015181,0.001746256,0.001141169,0.001342732,0.000805045,0.001610414,0.00026815,0.001072746,0.001139869,0.001139792,0.001005497,0.001473839,0.002077609,0.000803697,0.000669748,0.001004554,0.001540213,-0.000675037,0.004660902,-0.001210247,-0.000668628
4/26/07,-0.002941766,-0.001871658,-0.001737968,-0.001137656,-6.70E-05,0.000536265,0.001810501,0.000803643,0.001138342,0.001406941,0.001205707,0.002076913,0.000535475,0.000602248,0.000735737,0.000468321,-0.000267612,-0.000936017,-0.000668986,-0.000468133,-0.001269884,-0.000468102,-0.000133842,-0.000535368,-0.000133887,-0.000334538,-0.000267684,-0.000267612,0.00040158,0.000535655,0.00087038,0.000870089,0.000468572,0.000200763,-0.000468321,-0.000133842,-0.000267576,-0.000601846,-6.69E-05,-6.69E-05,-0.000535475,-0.000736229,-0.000736032,-0.001204416,-0.001538976,-0.000936768,0.000267881,0.000267917,0,0.000937898,0.002010454,0.001607394,0.001405999,0.001473149,0.001339226,0.001539388,0.001136972,0.001604814,0.0008023,0.000534902,0.000869333,0.000133654,0.000467633,-0.000333801,-6.68E-05,0.000334135,-0.000668628,6.69E-05,-0.001940189,-0.002004142
4/27/07,0.000335211,0.001878816,0.000469295,0.002081375,0.001140557,0.001073033,-0.000603177,-0.001741344,-0.001474234,-0.001742044,-0.001206273,-0.001473839,-0.00020118,0.000738007,0.000872425,0.001409491,0.001006441,0.000805099,-6.71E-05,-0.000402253,-6.71E-05,0,0.000268114,0.001206677,0.00174403,0.001073105,0.001139945,0.000335121,-0.000134021,-0.000669568,-0.000669613,0.000133994,0.000535834,0.000603015,0.000804236,0.000335008,0.001139105,0.000334941,-0.000267773,-6.70E-05,0.000334829,0.001004689,0.000870089,0.001406281,0.002008839,0.001138418,0.00100415,0.000267648,-0.000534974,-0.000200615,-0.000935579,0.000334448,0.000802515,0.000468259,0.000669075,0.000468196,0.000936455,0.000936142,-0.000133645,0.00046804,0.000334314,-0.000802246,-0.000868752,-0.001202485,-0.001002473,-0.001403462,-0.002004142,-0.002811433,0.000939787,-0.000133851
4/30/07,-0.000802676,-0.000736772,0.00040201,0.002144341,0.001540213,0.001205303,0.00060249,0.003083317,0.002344116,0.000200602,0.00046804,0.001070091,0.000602128,-0.000200468,-0.000601363,0.000133708,-0.000133663,-0.000400855,0.000267451,-0.000868868,-0.001270308,-0.001336898,-0.001269969,-0.001604064,-0.001537433,-0.000602047,0.000535547,0.000334672,6.69E-05,0.001204981,0.001807592,0.001137885,0.000735983,0.000869856,0.000869973,-0.000267451,-0.000400962,0.000267433,0.000133717,0.000133708,0.000267451,0.000200642,0,-0.000334202,-0.000200548,0.00013369,-0.000334225,-0.000267469,-0.000534831,-0.000401177,-0.000401177,-0.001403556,-0.001270478,-0.001471473,-0.001137124,-0.002675585,-0.002876254,-0.003145706,-0.002209427,-0.002076495,-0.002477734,-0.001274313,-0.002012477,-0.001141399,-0.001409112,-0.001342462,-0.000133851,0.000937082,-0.001337435,-0.003696733
5/1/07,-0.004239569,-0.003301442,-0.001887047,-0.003031528,-0.003575525,-0.00317032,-0.001013719,0.000675995,-0.001282917,-6.76E-05,0.002166554,0.003045067,0.001758896,0.000472877,0.001149348,0.001554264,0.000810701,-0.000337314,0.001823339,0.001688049,0.001620746,0.000269887,-6.75E-05,-0.00074234,-0.001482979,-0.001752612,-0.001281014,-0.000202361,0,0,-6.75E-05,0,6.75E-05,-0.000944542,-0.00040505,-0.000202607,-0.001147718,-0.000742792,-0.001957608,-0.001215559,-0.001688391,-0.000540394,0.000337952,0.000675767,0.0024349,0.001960784,0.003179543,0.002027575,0.001351351,0.000945435,0.000472303,0.000404886,0.001011531,0.001011736,0.00168691,0.002563757,0.002427839,0.00296796,0.000943142,0.001280237,0.001010441,-0.000740242,-0.000740043,-0.000941556,-0.000673038,-0.0012786,-0.003696733,0.002496121,-0.002355316,0.001347618
5/2/07,0.002685104,0.001945917,0.002549651,0.001340932,0.002011803,0.001474827,0.001405905,0.00254487,0.002141614,0.002611316,0.001606211,0.002208983,0.000334269,-0.000400802,-0.001001736,-0.000467477,-0.000267272,-0.000868287,-0.000267326,-0.000467789,-0.000267398,-0.000601323,-0.000200508,-0.000200548,0,0,0.000334336,0.000267415,0.000735343,0.000936079,0.000534795,0.000267433,-6.68E-05,0.000133672,-0.000334001,-0.000400802,0.000200441,0.000868926,0.000802193,0.000668271,0.000868694,0.000868752,0.000668003,0.000534259,0.000601162,0.000333912,0.000267058,6.68E-05,-0.000534045,-6.67E-05,0.000133511,0.000534081,0.000600721,0.00086794,0.000868287,0.000200254,0.000333734,-0.000133449,-0.00060036,-0.000867187,-0.000867534,-0.001401495,-0.00133449,-0.001334668,-0.001334935,-0.000400588,0.001347618,0.001211224,0.002553935,-0.000601122
5/4/07,0.000531032,0.001528239,0.000995818,0.00219109,0.001724939,0.001591829,0.001127844,0.000995157,0.000663218,0.000132503,0,-0.000198662,0.000463883,6.63E-05,-0.000198834,-0.000794913,-0.001258361,-0.001192211,-0.001391005,-0.000530188,-0.000198873,-0.000132591,0,-0.000397878,-0.000596975,-0.000729395,-0.000994563,-0.001790213,-0.002917772,-0.002454558,-0.001858366,-0.002057067,-0.001526515,-0.000664231,0.001263634,0.00126355,0.000864419,0.000465456,0.000598245,0.000398804,0.000531385,0,0.000531491,0.000731091,0.000996479,0.000996612,-0.000531103,-0.000797024,-0.000929615,-0.001261872,-0.001327316,-0.000995619,-0.000332116,0.000265887,0.000332314,0.000398989,-0.000265816,-0.000332204,-0.000199336,0,0.000398645,0.000997075,0.001130019,0.000864017,0.000797501,0.001196172,-0.000399148,0.003327566,6.63E-05,-6.64E-05
5/7/07,0.000331279,-0.000595948,-0.001654096,-0.000728236,0,-0.000331016,-0.000596105,0.000265024,0.000795281,0.00046376,-0.000397167,-6.62E-05,0.000994102,-0.000331192,-0.000132442,-6.62E-05,0.000132442,0,0.000132415,0.000596342,0.000264918,0.000198675,-0.000198636,-0.000132459,-0.000264795,6.62E-05,0.000198636,-0.000132424,0.00013245,0.000331192,-6.62E-05,-0.000331082,-0.000860585,-0.000198662,-0.000132433,-0.000264866,-0.000198662,-0.00039743,0.000463791,-0.000132468,-0.000728477,-0.000264936,-0.000132468,0.000265059,0,0.000397456,0.000994102,0.000331257,0.000132485,0.000529977,0.000264901,-6.62E-05,-0.000132415,0.000264918,0.000264936,-0.000198636,-0.000198623,0.000198662,0,-6.62E-05,-0.000397298,-0.000728477,-0.000529766,-0.000794492,-0.000463515,-0.000264866,-6.64E-05,0.001194822,0.001458596,-0.000132468
5/8/07,-0.00066454,-0.002059253,-0.002059664,-0.001263466,-0.001529459,-0.000332469,-0.000531986,0.000599081,0.000466045,0.000798988,0.001598402,0.000332579,0.000266134,6.65E-05,0.000133094,0.000133058,-0.000199481,-0.000398963,0.000133032,-6.65E-05,6.65E-05,-0.000199561,-0.000266028,-0.000133041,-0.000465549,0.000199574,0.000665336,0.000864937,0.000133049,0.000399175,0.000598842,0.000731626,0.000664894,0.001462474,0.002394572,0.002128084,0.001795452,0.001728034,0.001461794,0.000464653,-0.000132714,0,-6.64E-05,-0.000398089,-6.63E-05,0,-0.000265463,-0.000199084,-0.00019915,0.000398248,0.000199058,0.000663482,0.000995751,0.001128369,0.000863156,0.000265393,0.000199018,-0.000464129,-0.000795809,-0.001127097,0.000265358,0,0,0.000464345,0.000995553,0.001261118,-0.000132468,-0.003113408,-0.000664496,6.63E-05
