"date","r_daily"
2007-08-01,0.00894577484172876
2007-08-02,0.00265486725663711
2007-08-03,-0.025759532386325
2007-08-06,0.0180342651036971
2007-08-07,0.012478573877271
2007-08-08,0.00672766415500536
2007-08-09,-0.0116657623440043
2007-08-10,0.011115742670557
2007-08-13,-0.00730026608446477
2007-08-14,-0.0194381482244661
2007-08-15,-0.0123370250946305
2007-08-16,0.0154761051801964
2007-08-17,-0.00316804407713489
2007-08-20,-0.00303051174323299
2007-08-21,0.00318405205232919
2007-08-22,0.00348956551488189
2007-08-23,-0.00630508474576275
2007-08-24,0.0109860116001363
2007-08-27,-0.00602124348826205
2007-08-28,-0.0173062452972159
2007-08-29,0.0152238599404886
2007-08-30,0.00467482469407376
2007-08-31,-0.00121909922113106
2007-09-04,0.0113859708573363
2007-09-05,-0.00364618501012826
2007-09-06,0.000742440604751815
2007-09-07,-0.00457306668486779
2007-09-10,-0.00682547266398204
2007-09-11,0.00943525229044173
2007-09-12,0.00237626451218675
2007-09-13,0.00202006598882232
2007-09-14,0.00703272923992415
2007-09-17,-0.00101159967628817
2007-09-18,0.0239183015318463
2007-09-19,-0.000651593145240104
2007-09-20,-0.00535422788116224
2007-09-21,-0.00268535499083045
2007-09-24,-0.00525106662290764
2007-09-25,0.00570405253034423
2007-09-26,0.00138012618296535
2007-09-27,0.000523320468371669
2007-09-28,-0.00287750964619704
2007-10-01,0.0120513492271417
2007-10-02,-0.00116421964944058
2007-10-03,-0.000195020477150143
2007-10-04,0.000649097754121808
2007-10-05,0.0038062060512225
2007-10-08,-0.000901306894997789
2007-10-09,0.00475364553221569
2007-10-10,0
2007-10-11,-0.0103211009174312
2007-10-12,0.00321440051430399
2007-10-15,-0.00889770836000503
2007-10-16,-0.00433853525869332
2007-10-17,-0.00632217276304747
2007-10-18,0.00247653806047965
2007-10-19,-0.0201241424371121
2007-10-22,0.0118935626931864
2007-10-23,0.00363276089828268
2007-10-24,0.00218210672485619
2007-10-25,-0.00237357420716022
2007-10-26,0.0015011095157289
2007-10-29,0.000909918107370178
2007-10-30,-0.00306129095290819
2007-10-31,0.00643651258045641
2007-11-01,-0.0161816520944799
2007-11-02,-0.00250825082508244
2007-11-05,0.00528781793842037
2007-11-06,0.00748542660307372
2007-11-07,-0.0193368330121603
2007-11-08,-0.00317567567567567
2007-11-09,-0.00219795315612337
2007-11-12,-0.00751309622277363
2007-11-13,0.0202395704254441
2007-11-14,-0.0138767848763156
2007-11-15,-0.00886464370951257
2007-11-16,-0.000957723354768181
2007-11-19,-0.0117728055077453
2007-11-20,0.00375887512181539
2007-11-21,-0.00901467505241083
2007-11-23,0.00594073245736637
2007-11-26,-0.0241874003742462
2007-11-27,0.00931085561120115
2007-11-28,0.0205142421512232
2007-11-29,0.00539322774440221
2007-11-30,-0.00389209502080268
2007-12-03,-0.00458746542535238
2007-12-04,-0.000954328561690421
2007-12-05,0.00635478637101161
2007-12-06,0.0166173304628634
2007-12-07,-0.00435931307793924
2007-12-10,0.00562243683026842
2007-12-11,-0.0259561046129585
2007-12-12,-0.0144697720515362
2007-12-13,0.00721802482460876
2007-12-14,-0.00520446096654259
2007-12-17,-0.0110436975935647
2007-12-18,-0.00150643659271432
2007-12-19,-0.00239775296293754
2007-12-20,-0.00163521155549506
2007-12-21,0.00693076034517914
2007-12-26,0.00450299079239214
2007-12-27,-0.00986643398885834
2007-12-28,-0.00693229236774806
2007-12-31,-0.0042165397170838
2008-01-02,-0.0142525913802508
2008-01-03,-0.00406756290934163
2008-01-04,-0.0168131714803962
2008-01-07,-0.00190503069216097
2008-01-08,-0.0235649971862689
2008-01-09,0.0128057553956835
2008-01-10,0.0168519182502691
2008-01-11,-0.0046918319471102
2008-01-14,0.0018413597733713
2008-01-15,-0.0123854524627722
2008-01-16,-0.00145613396432465
2008-01-17,-0.031477173596976
2008-01-18,-0.0117848884910866
2008-01-22,0.0343412015473277
2008-01-23,0.0519654088050314
2008-01-24,0.00364285183257751
2008-01-25,-0.0252162439524997
2008-01-28,0.0150776385867526
2008-01-29,-0.00146767446980267
2008-01-30,-0.00169629028689422
2008-01-31,0.0297690461907618
2008-02-01,0.0114600710814534
2008-02-04,-0.00826446280991744
2008-02-05,-0.0164778578784759
2008-02-06,-0.0141138018125093
2008-02-07,0.0120281413117482
2008-02-08,-0.00172478440194967
2008-02-11,0.00638809559597164
2008-02-12,0.00118711975070473
2008-02-13,0.00381819516851456
2008-02-14,-0.01416575392479
2008-02-15,0.00349208707927784
2008-02-19,-0.0121433796634967
2008-02-20,0.015140214797136
2008-02-21,-0.01681532387776
2008-02-22,0.00556008599599678
2008-02-25,0.0131336235519812
2008-02-26,0.010960906101571
2008-02-27,0.00407095085780762
2008-02-28,-0.0024031459364986
2008-02-29,-0.0168978748524204
2008-03-03,0.00180220770443795
2008-03-04,0.00423088546388617
2008-03-05,0.00224887556221876
2008-03-06,-0.017425266636623
2008-03-07,-0.00038532675708991
2008-03-10,-0.0147183478461895
2008-03-11,0.0133180252583236
2008-03-12,-0.0109219644471226
2008-03-13,0.0165677737535639
2008-03-14,-0.0230536659108088
2008-03-17,0.00923222599226703
2008-03-18,0.0217657878602084
2008-03-19,-0.0283243887895049
2008-03-20,0.0209999999999999
2008-03-24,0.0108002700067502
2008-03-25,0.00215197387948951
2008-03-26,-0.00349962769918089
2008-03-27,-0.0134813049307314
2008-03-28,-0.0110634454730187
2008-03-31,0.00541034824354192
2008-04-01,0.0234906860178052
2008-04-02,-0.00240911081909756
2008-04-03,0.00595675834681564
