etaonfh,etaonfh12,etaon,eta12,etaon12,etalag,etalagon,etalag12,alwayslong,buyandhold,etalagon12,eta1011,eta10,eta11,rowname
0.1366,0.098,0.1588,0.0593,0.109,0.0957,0.1273,0.0775,-0.1588,-0.0242,0.1044,-0.0262,-0.0387,0.0147,avg ret
0.8668,0.7091,0.863,0.8756,0.6537,0.8723,0.6663,0.7015,0.863,2.2201,0.5502,0.6423,0.8768,0.8775,stand dev
0.6437,1.1524,1.3304,0.3754,2.3655,0.1268,1.9863,0.6706,-1.3304,-0.0889,3.3984,0.0429,-0.135,0.2535,skewness
6.3103,12.2007,5.8018,6.4679,11.9346,6.5681,10.4024,12.2597,5.8018,3.9566,19.4147,15.2488,6.5272,6.5221,kurtosis
57.52,80.53,55.75,55.75,80.53,47.79,76.11,77.88,44.25,46.02,91.15,79.65,51.33,49.56,success
