intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
-0.06985063,-4.382851397,5.151841658,-0.816884132,1.802369513,2.900629874,-0.130835554,1.928759676,0.490009371,-2.375790921,-0.379586988,-0.194592021,1.952904006,0.374506682,3.556371456
-0.079105185,-4.383636691,5.142695921,-0.823170759,1.801782035,2.901336856,-0.128059957,1.929131189,0.493547139,-2.373113816,-0.371749632,-0.202375327,1.956255001,0.372357186,3.554586197
-0.102352798,-4.393211328,5.129525004,-0.850051407,1.828048416,2.881410565,-0.145100047,1.925997242,0.485986808,-2.34678536,-0.34793898,-0.196379819,1.953673402,0.384103893,3.547250833
-0.11164699,-4.397425098,5.130816023,-0.847062091,1.830190859,2.884522859,-0.154061011,1.91775075,0.47739326,-2.350415621,-0.354866013,-0.19110123,1.951157538,0.372984422,3.553669333
-0.094002987,-4.392066693,5.125861583,-0.863950297,1.826100539,2.882471912,-0.149441222,1.92462176,0.486957942,-2.348650666,-0.351611728,-0.18574372,1.957568112,0.375378871,3.550759812
-0.0836641,-4.397289594,5.116853857,-0.867521443,1.830631293,2.873007641,-0.14960286,1.923199409,0.494942383,-2.347410209,-0.355540697,-0.181036117,1.951415359,0.365698059,3.543176186
-0.058170646,-4.39896758,5.094413192,-0.884570666,1.827969073,2.8816043,-0.16257663,1.934533631,0.488681056,-2.348593344,-0.350761454,-0.1722329,1.955156968,0.375877671,3.538055534
-0.061702408,-4.387907419,5.118821847,-0.858285911,1.809948023,2.854448629,-0.267283049,1.928339892,0.49226503,-2.356988985,-0.340403011,-0.174500377,1.963813522,0.383792802,3.517759877
-0.042772916,-4.374510548,5.163164608,-0.850740221,1.802293871,2.831702241,-0.293907501,1.989568095,0.502470113,-2.335382178,-0.33439059,-0.173121027,1.961530086,0.376735311,3.527077075
0.021256565,-4.40176597,5.185289549,-0.821910544,1.797595677,2.865532342,-0.285976208,1.991662789,0.505205666,-2.334281155,-0.315936416,-0.171737161,1.973239228,0.372138354,3.550557964
0.024159069,-4.396496799,5.186634156,-0.821739973,1.803509125,2.867555322,-0.291120878,2.002625746,0.515244499,-2.331945575,-0.308300585,-0.176550493,1.975083507,0.372752369,3.548804034
0.021139552,-4.397267424,5.183926714,-0.821518633,1.799890846,2.866565772,-0.287858175,2.012361597,0.51542468,-2.334258122,-0.309777304,-0.175028026,1.974133672,0.371072885,3.548186117
0.004157301,-4.406364509,5.217366213,-0.820690424,1.804992826,2.898365725,-0.25715254,1.957315385,0.506526748,-2.333168046,-0.337606836,-0.149870517,1.965283055,0.401876723,3.566102641
0.058912377,-4.376349669,5.234179436,-0.844159155,1.763434798,2.903931843,-0.320146616,1.993397652,0.528949775,-2.308674653,-0.29229451,-0.144691077,2.006031244,0.401083017,3.595405069
0.058830793,-4.386916888,5.234497238,-0.847383356,1.777551022,2.900731924,-0.312813264,1.988958084,0.535507868,-2.302037796,-0.294855067,-0.136860061,2.009054267,0.399987039,3.592174242
0.064099961,-4.391596289,5.229658258,-0.84742959,1.777002072,2.912829255,-0.316363703,1.984103835,0.545292736,-2.302435307,-0.291898279,-0.136197539,2.022271985,0.397285451,3.596392498
0.055982469,-4.40367594,5.231016162,-0.847676272,1.787858873,2.906593442,-0.288590515,1.962029473,0.539931874,-2.317557454,-0.303191425,-0.147597785,2.014208537,0.40911178,3.580514085
0.03777376,-4.400001694,5.231756219,-0.848013348,1.781887885,2.899096136,-0.283406604,1.944675245,0.536185671,-2.319745497,-0.325237128,-0.145848743,2.01306942,0.421332196,3.578170526
0.023885403,-4.404328829,5.23106944,-0.857964255,1.793976118,2.896683906,-0.286989096,1.956594744,0.539531337,-2.316534961,-0.319640668,-0.149487,2.013920966,0.420613934,3.575965509
0.010867606,-4.401911878,5.23663365,-0.848297889,1.80450684,2.893111618,-0.279707271,1.961474598,0.535427502,-2.338377593,-0.332154523,-0.153214017,2.021885842,0.436609395,3.570674398
0.012832818,-4.393023451,5.25464835,-0.838284606,1.79986874,2.895206207,-0.287072169,1.95266065,0.535001192,-2.339930377,-0.342817227,-0.152149433,2.014995834,0.440349405,3.573196587
0.001892104,-4.391514025,5.247723359,-0.836435165,1.796643102,2.896315974,-0.293250917,1.948129634,0.525818598,-2.33606097,-0.339027238,-0.15327271,2.010291288,0.436492035,3.576728732
-0.040888513,-4.369193359,5.236061709,-0.827510609,1.768974991,2.929209784,-0.289736647,1.914105141,0.502477624,-2.352362733,-0.337181642,-0.177950949,1.959772238,0.473931233,3.61250807
-0.037162721,-4.369022149,5.235136858,-0.829164422,1.813304738,2.925165308,-0.279927723,1.913472823,0.505790901,-2.353589617,-0.350702573,-0.176833352,1.954052044,0.471434709,3.610082353
