d_onfh,d_onfh12,d_on,d_12,d_on12,d_lag,d_lagon,d_lag12,d_lagon12,d_10,d_11,d_1011,rowname
1403,728,1478,1362,756,1240,720,645,379,1335,1370,676,long
1229,571,1154,1270,525,1392,611,629,272,1297,1262,577,short
0,1333,0,0,1351,0,1301,1358,1981,0,0,1379,neural
