intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
9.11472011610184e-06,-0.204056011742134,0.152552209462478,-0.0407610000166927,0.116548187046287,0.225778578158226,-0.0161322583666463,0.155261005978794,0.0334176914469601,-0.220521368825669,-0.0109212518953956,-0.0131773871508788,0.15694156469253,0.023675226809947,0.175853284161186,2009-08-04,2009
4.12524384358379e-06,-0.204630890970897,0.152752418906412,-0.0396879063756183,0.117446052375131,0.225709079039339,-0.0164913308123197,0.15589395343036,0.0323289745352264,-0.220350985572143,-0.0121669727780801,-0.0127250198717575,0.156763478716157,0.0226672758543356,0.175666690238451,2009-08-05,2009
-3.11280692086652e-07,-0.204254819308622,0.152794212121969,-0.0387565338606162,0.118140689326654,0.224980044529687,-0.0174212726939593,0.156945258101495,0.0333937499374254,-0.220960937704783,-0.0128044683020503,-0.0122814417408594,0.157135148512817,0.0226940279170605,0.175236988979601,2009-08-06,2009
-1.3417811816028e-05,-0.203777394952154,0.151955433666231,-0.0379643639069915,0.117553277499787,0.22054695291877,-0.0177799148392874,0.157371366651279,0.0334377758843726,-0.223775010795579,-0.0166853454053867,-0.0114715332310402,0.157283745962822,0.0237496161806905,0.175253749153199,2009-08-07,2009
-9.01077438580088e-06,-0.204083468726979,0.151878728277092,-0.0376358050210548,0.117798431679148,0.220583648383447,-0.0179893703242583,0.157216339609364,0.0327309958613807,-0.224307441468704,-0.0176205882148652,-0.0112886652611098,0.157131961783748,0.0240166420242366,0.17529700840775,2009-08-10,2009
-1.37652887479859e-05,-0.204473159659755,0.152098567988002,-0.0372302713960557,0.11906701274696,0.220103566999036,-0.0172412790689292,0.157297920245096,0.0325694104199451,-0.223647884471221,-0.0176314147804177,-0.0119746443630071,0.156701081020301,0.0238462960966196,0.175105946011262,2009-08-11,2009
-2.5429783794586e-05,-0.203762732144492,0.15155472887196,-0.041053556318484,0.117099705523438,0.220047722971114,-0.01734295592905,0.157143891867951,0.0339707726661332,-0.223629876847264,-0.0178952319889492,-0.0108307269725851,0.158813922629692,0.0205209112944584,0.175779218544024,2009-08-12,2009
-2.85512694613218e-05,-0.20324999895721,0.151573124609271,-0.0402561236289475,0.116525429453203,0.219170537357648,-0.0173214424027878,0.157074622903408,0.0340904612126914,-0.22409648913933,-0.0179422917130876,-0.0109948520389844,0.158784451858879,0.0204867530340664,0.175439201168394,2009-08-13,2009
-1.34875494539302e-05,-0.202316558406912,0.150830583932527,-0.0459896175455925,0.112250044770186,0.21932010476473,-0.0208447416144002,0.157264164364602,0.0339035258689245,-0.21876020039158,-0.01677026422751,-0.0097364706879558,0.158536641126935,0.0226341416738716,0.175781960014903,2009-08-14,2009
-7.72830389772758e-06,-0.201600771153527,0.14971411646816,-0.0468806432484927,0.112163707433505,0.218819208160377,-0.0196419036799362,0.158410236845607,0.0340564411631497,-0.219252320282803,-0.0165722325173887,-0.00928765130292548,0.158271500833276,0.0221591019414863,0.175630432256424,2009-08-17,2009
-1.25399143786794e-05,-0.201409213701908,0.149616850729776,-0.0470314430615169,0.111732180458572,0.218753115623957,-0.02055143430441,0.157598506777744,0.0337783301185796,-0.219456243221384,-0.0165144971799613,-0.00930816646126055,0.15778238530613,0.0226368158645593,0.175681434004252,2009-08-18,2009
-6.54811019970755e-06,-0.201346588574101,0.149280466718475,-0.0462326296740726,0.112333502544484,0.218784985129629,-0.0199949491486248,0.161207092028739,0.034942608183178,-0.219365764387696,-0.0157039126242072,-0.00899034081592428,0.157487657346681,0.0221359291961687,0.175104995231386,2009-08-19,2009
-5.62028763322267e-06,-0.201282560657337,0.149322643001699,-0.0459959902167772,0.112263438302329,0.218885514664968,-0.0200629203069801,0.161170356442369,0.0349422556825759,-0.219354674740144,-0.0157004581155686,-0.00902224370837354,0.157464803436627,0.022075774069663,0.175174942474593,2009-08-20,2009
-1.35755780528656e-05,-0.201128996166533,0.148667343935289,-0.0468430839120022,0.110282581226369,0.218817537841335,-0.0207285712131711,0.160762035274996,0.0349646591516732,-0.219183788272729,-0.0153941134045768,-0.00845321803106942,0.157086307899773,0.02216987857702,0.174869056572368,2009-08-21,2009
-1.4527247827023e-05,-0.20110904728871,0.148593059833713,-0.0469871460202191,0.110191851950509,0.218829825726872,-0.0207449793322649,0.160884095904683,0.0350089772656657,-0.218959554856508,-0.0148295607053164,-0.00864117124014778,0.157086866860794,0.022176299159456,0.174891343028281,2009-08-24,2009
-2.23140777953501e-05,-0.201610955460665,0.14816765929099,-0.0483669639742952,0.111788148908615,0.217223345934396,-0.0219669566086515,0.161206151563261,0.0342252516054508,-0.216147831286547,-0.0126782815106168,-0.00843991876964022,0.156885417493168,0.0230202907818319,0.174558312750773,2009-08-25,2009
-2.03501583077223e-05,-0.201692337428354,0.148144595292091,-0.0483267474001737,0.112228165961886,0.217153335718805,-0.0223678691396076,0.161261785183695,0.0344336730041745,-0.216269223439295,-0.0128482930821417,-0.00790823780667377,0.156791269383361,0.0228790838235099,0.174575654371897,2009-08-26,2009
-1.78911583447481e-05,-0.201698108378173,0.147981012560535,-0.0491892895290306,0.112353263262232,0.216986997206799,-0.0214407588344973,0.161624001837223,0.0350155099175922,-0.216033851480997,-0.0130965399924589,-0.00704745978880259,0.1569932780691,0.0233411027287921,0.17443839770975,2009-08-27,2009
-1.96691254481944e-05,-0.201672674402816,0.147938033023045,-0.0488573529751717,0.112621205085,0.216702060853037,-0.0213300245635339,0.162065896547815,0.0355360954897133,-0.216332250537273,-0.0135660469647034,-0.00699781651593103,0.156900370026049,0.0233021410755185,0.174333041721269,2009-08-28,2009
