intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
0.11589512479809,-1.93891717160042,-0.375545036236661,-2.87760814425881,-2.48608338748838,3.28131565395915,0.504800997778478,0.0164763360352355,1.9252089236441,-1.99121890075124,2.58563592775244,-0.893881372721814,0.000628850339814236,0.577326923685693,2.76159535169681,2009-08-04,2009
0.108921716527422,-1.94602537519698,-0.37669809216273,-2.88034745941555,-2.4872111927447,3.29117149968189,0.507060131401851,0.0187918235987716,1.92570020414474,-1.99124392950406,2.58616698705257,-0.893895912072898,0.0013090995114112,0.57357947730343,2.76483186514432,2009-08-05,2009
0.0873987563575382,-1.9448016175448,-0.379975909729818,-2.87564816755328,-2.48166845493706,3.29682244775898,0.495792827443684,0.0260034337946656,1.9325323240379,-1.99888666327534,2.57812335493887,-0.887807814404061,0.0047825088687447,0.577189003055291,2.76132816075354,2009-08-06,2009
0.0700452207216015,-1.94193533706635,-0.388482390657869,-2.87588434110216,-2.48502101335137,3.29083129166922,0.495685723548744,0.027458660122625,1.93122187645599,-2.00352696915844,2.57639532670555,-0.886765186547466,0.00409425313799734,0.58105463065631,2.76415788581012,2009-08-07,2009
0.074814114129987,-1.9445782230153,-0.389388699262079,-2.87790474196287,-2.4882171400779,3.29254312291462,0.494237864201044,0.0271115499724274,1.9322440705833,-2.0073350269965,2.57809774843267,-0.887651051868137,0.0026043500414962,0.582728375191209,2.76778449007161,2009-08-10,2009
0.0599593510118399,-1.94787289587212,-0.386854785075557,-2.88390454872244,-2.48240876127823,3.30822925608174,0.496469078910209,0.0373209311738107,1.92844474601018,-2.0066820761285,2.5806481558039,-0.892912891638171,-0.00510709693850135,0.576638564981457,2.77119765661171,2009-08-11,2009
0.0427224958163435,-1.94388501988398,-0.390274135479818,-2.90862728768318,-2.49018640449918,3.30964574977647,0.492874484987144,0.0434948832932653,1.92714859442477,-2.01201526219924,2.58428373608107,-0.88805554084474,-0.00725503147862869,0.563659777597434,2.7756895181188,2009-08-12,2009
0.0526557887164901,-1.95055036885547,-0.385918106385886,-2.90950641961577,-2.4914496511873,3.3230103264654,0.494963130191022,0.0445825939675979,1.92320548369616,-2.01412346011739,2.58564717223779,-0.891457277932301,-0.00738898491055239,0.562340242660936,2.78392321975353,2009-08-13,2009
0.0873456472254403,-1.94445797181219,-0.39770901044586,-2.93249039729302,-2.5024435659198,3.3121257408826,0.486658317515176,0.044371086784828,1.92487110127037,-1.99962790954007,2.58617307052223,-0.883385956749693,-0.011296798909338,0.565801981406897,2.78312654022419,2009-08-14,2009
0.08531561398177,-1.94852735032863,-0.395928969732386,-2.93535399156701,-2.50454847587381,3.31655554635258,0.487640729018928,0.0438259445210355,1.92688650863184,-2.0011438720095,2.58901051662782,-0.88473837285206,-0.0101326043997711,0.567735418646809,2.78837860402991,2009-08-17,2009
