"date","r13_lag","r_on","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13"
2007-08-01,NA,NA,-0.0304553296826945,0.00649903288201159,-0.00138365746790692,0.00723577861596492,0.0236912495223538,0.007390817469205,-0.0123758707573736,-0.00495235236737446,0.00294095467913413,0.00654135338345863,-0.00298797340703671,-0.000824155240877977,0.0128974205158967
2007-08-02,0.0128974205158967,0.00784720165827646,-0.000293815190245295,-0.0118295371050697,0.00297419882519123,0.00281711023797193,0.00643158128188048,-0.00477449684148656,-0.00206657317883241,-0.000591672213593797,0.000888033745282346,0.00184842883548986,0.00324723247232472,0.00308959835221434,0.000660017600469187
2007-08-03,0.000660017600469187,-0.0107731769879077,-0.00177804119128744,0.00267923408045112,-0.00282011236038227,0.00163301662707838,-0.00229731732621907,0.00232489044046669,-0.00120791741698356,0.000296779937676073,0.000734312416555527,-0.00977623611203771,0.00306886227544911,-0.00479814939183643,-0.0130167132798967
2007-08-06,-0.0130167132798967,0.00652581838624644,-0.0146426145369462,-0.00413634622749914,0.00661487577878628,0.00695346527087937,0.000682956442555893,-0.00204747099416103,0.0117021276595743,-0.000450653447498728,-0.00443342350465892,0.00955543814627502,0.00414187027124013,0.00193582011763827,0.00520175373411624
2007-08-07,0.00520175373411624,-7.39262216309378e-05,0.00916752920301644,-0.00183150183150182,0.00543119266055059,-0.00213884225125927,0.000607182308316911,-0.00168153238777591,0.000732332478945441,-0.000292718624222421,-0.00534367908645061,-0.0153812187224022,0.00986620823678908,0.00525497742580106,-0.00544838757178601
2007-08-08,-0.00544838757178601,0.0113266212614747,-0.012956591757558,-0.003633936517354,-0.00119091924078896,0.000819733214099561,0.00208488458674605,-0.00215485213256073,-0.000670191376870966,0.0037257824143071,0.00179584261321475,0.00228320484593736,-0.00702402957486126,-0.0104839910647805,0.00517713632122341
2007-08-09,0.00517713632122341,-0.0206610270998654,0.00963078303716336,0.000454270139309321,-0.00264870591796573,-0.00341452310493962,-0.0051850159890362,0.0025333119035047,-0.00572562791052755,0.00115171990171969,0.000230078993787908,-0.00414046925318201,-0.0184785956267323,-0.00823658613115785,0.00316380605868849
2007-08-10,0.00316380605868849,-0.040290152172199,0.00961222477817936,-0.00870697371633178,-0.000164176654079751,0.0153530377668309,0.013099377375273,0.0127703727352542,-0.0156040665143038,0.00464334320710913,-0.00406406885010746,0.000160025604096559,-0.00488,0.00948629311037852,-0.00453930078840481
2007-08-13,-0.00453930078840481,0.0289200000000001,-0.0140341328771917,0.00615093446889037,0.00164589701387241,0.0107981220657278,-0.000928936367858846,-0.00705098403843174,0.00476785017557546,-0.00365793990416352,0.00335178112089807,0.00279676817899333,-0.00325379609544485,-0.00186538162599104,-0.00443856097181117
2007-08-14,-0.00443856097181117,-0.000625733281188867,-0.00610471941770374,-0.0119694464131034,-0.00175340718896944,0.00207584830339336,0.00828619233527195,-0.00592651126037136,0.00270270270270268,-0.00428095766608538,-0.0014331210191082,0.000159464200286896,-0.00510204081632648,0.00280448717948723,-0.00854974031162614
