intercept,r13_lag,r_onfh,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
5.40905261855561e-05,-0.191520513887842,0.140550190855127,0.115587593691981,0.217556024079145,-0.0344648572237549,0.174910761939118,0.0283804782501125,-0.292275154790026,-0.0314291951189428,-0.0431301347100605,0.149556511720762,-0.015549879786778,0.168751807599368,2009-08-04,2009
5.05234183353085e-05,-0.19195824953387,0.140737574922621,0.116210119525616,0.217525905643812,-0.0346664029930046,0.175291717905501,0.0276361581080151,-0.291931225868558,-0.0322328506686421,-0.0427277587783343,0.149456637042962,-0.0161329502857916,0.168639095975635,2009-08-05,2009
4.84808769678754e-05,-0.191815235340135,0.14078946198271,0.116518861262168,0.217214032711195,-0.0350494197143144,0.175720799752161,0.0281189352434521,-0.292055938618916,-0.0324771007701661,-0.0424723458886553,0.149637739991282,-0.0160440765537975,0.168459427378627,2009-08-06,2009
3.67990763292109e-05,-0.191486217157859,0.140189149123753,0.116017019357504,0.213418957613362,-0.0352509309061437,0.175950817372013,0.0281939537730721,-0.293975620320614,-0.0357152470496673,-0.0415527571123797,0.149823040449742,-0.0148502896692743,0.168520454379288,2009-08-07,2009
4.02288500308649e-05,-0.191748214792781,0.140156968842089,0.116212160166908,0.213457749885133,-0.035392853265042,0.17579663318996,0.0276415253161664,-0.294279611675317,-0.0364274555301586,-0.0413593480639855,0.149715636652963,-0.0145755740322899,0.168564493831004,2009-08-10,2009
3.58586222111294e-05,-0.192115586734941,0.140367479468454,0.11737063079198,0.213020874048098,-0.0346950561238561,0.175856100738335,0.0274974865291136,-0.293613457600373,-0.0364177943878129,-0.0419631189855717,0.149328658712424,-0.0146979729079333,0.168393084547823,2009-08-11,2009
2.22221330474387e-05,-0.190995504329823,0.139353222315693,0.114949659029789,0.212848944192677,-0.0351212877710743,0.176052357696199,0.0291273482910775,-0.295078477114103,-0.0371261382065088,-0.0411488506874322,0.151766487713757,-0.0195809625960306,0.169111237081343,2009-08-12,2009
2.15882276499168e-05,-0.190905026538494,0.139370374381796,0.114838391238069,0.212682388351362,-0.0351057950439513,0.176024230027102,0.0291540337287036,-0.295113280117955,-0.0371211540078071,-0.0411584125838054,0.151766514989226,-0.0195572824948767,0.169049284605563,2009-08-13,2009
4.0589280781731e-05,-0.189435206363231,0.138000931779177,0.109756666627232,0.212727499576803,-0.0397542229716552,0.176819712096681,0.028796345282327,-0.290960924963683,-0.0363080572001502,-0.0405323927114389,0.151245989681139,-0.0181998404413366,0.169304768922476,2009-08-14,2009
4.5980380512275e-05,-0.188763673410719,0.136966186221596,0.109685080773628,0.212267781301399,-0.0385864650964659,0.177887556325362,0.0289497117997897,-0.291353472937167,-0.0361114227762525,-0.0400620887635083,0.150999797835046,-0.0186082248276362,0.169174279528409,2009-08-17,2009
4.09651334243888e-05,-0.188560819812726,0.136858189645481,0.109235662897666,0.212198747760459,-0.0395381251843975,0.177046032278365,0.0286586366293072,-0.291586495834647,-0.0360563675293344,-0.0400905972365019,0.150487355500749,-0.0181204021668137,0.169226823501753,2009-08-18,2009
4.45093249063674e-05,-0.18856466557883,0.13671414755012,0.109612530261033,0.212237870259674,-0.0391375033846517,0.179204720603921,0.0293943256222843,-0.291274768691528,-0.0354924537323977,-0.0397890264856126,0.150332020990382,-0.0182891333264288,0.168891178391797,2009-08-19,2009
4.24987220647278e-05,-0.188682162559462,0.13658086666314,0.109768230587484,0.212002210620874,-0.0390196340730704,0.17932651353445,0.0293840649335228,-0.291460140691045,-0.0355426912656891,-0.0397812309918966,0.15036675779514,-0.0182405549248386,0.16872339229841,2009-08-20,2009
3.41594571998346e-05,-0.188509280403923,0.135879538636101,0.1076991367168,0.211934335945839,-0.0397291906708418,0.178914230813683,0.0294040055869449,-0.291355572845796,-0.0352469300644612,-0.0392083411956702,0.149961944548601,-0.0181796614432264,0.168403204674407,2009-08-21,2009
3.21339929159424e-05,-0.188457444578736,0.135707739540819,0.107505086107755,0.211958798560195,-0.0397757572989705,0.179189019917766,0.0294955938210775,-0.290929698071203,-0.0340515547882073,-0.0396321984082493,0.14995729489461,-0.0181951677784651,0.16844829231254,2009-08-24,2009
2.24680886864763e-05,-0.189019219980672,0.135062351174203,0.109518741092508,0.209905228328343,-0.0414128677571191,0.179704221229675,0.0284761629048449,-0.287820570989701,-0.0314496785646501,-0.0395525412854785,0.149656683383713,-0.0173666269360406,0.167999942671333,2009-08-25,2009
2.40948936143345e-05,-0.189090202161689,0.135047843116043,0.109885826244828,0.209848595453197,-0.0417424455513188,0.179745638214302,0.0286513052343995,-0.287902567159228,-0.0315867096089495,-0.0391014032223304,0.149580203451488,-0.0174737721663092,0.168015974003662,2009-08-26,2009
2.98071262687303e-05,-0.189009451163707,0.134547082702016,0.110160978224135,0.209438671195046,-0.0398021691756238,0.180695707326931,0.0299081557199462,-0.287944704067124,-0.0322853344287497,-0.0374112610201652,0.14997125612844,-0.0167510914024468,0.167670512946351,2009-08-27,2009
3.03887050149078e-05,-0.189010337314798,0.134550055592189,0.110076020330598,0.209524808614649,-0.0398463394548964,0.180567799882708,0.0297414229533309,-0.287893673069148,-0.03214836241551,-0.0374441741200555,0.149996182317688,-0.0167620532293923,0.167700273268212,2009-08-28,2009
3.72537941850115e-05,-0.189127446395104,0.133784561081852,0.109997039384014,0.210167838696733,-0.041168805143401,0.181541600802476,0.0293743485379616,-0.288083015107798,-0.0316064241091795,-0.0369385716033952,0.150229772900781,-0.0161217654242637,0.16748491539509,2009-08-31,2009
