intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
0.0297537626658526,-4.6387610203322,5.29503723040724,-0.698936019717668,1.85039332070778,3.2118567216162,-0.174648339149366,1.72283559917523,0.390087685211138,-2.35916008793316,-0.121085276517386,-0.165415241518103,2.2555602825231,0.35170209767917,3.53363863994861,2009-08-04,2009
0.0134875487805786,-4.65795313115623,5.30716800554899,-0.681747784772538,1.86727039648479,3.21358577175959,-0.178693762853944,1.73155456150409,0.377866068401402,-2.35934788178122,-0.135081772526963,-0.159885710485483,2.25494253324422,0.337221785433436,3.53300462819727,2009-08-05,2009
-0.00101974896204962,-4.65539502432776,5.31358655032534,-0.667216929109268,1.88119641229003,3.20789294612767,-0.189040614178629,1.74603182032438,0.390974460100763,-2.36857110971475,-0.142326518159628,-0.154478970105072,2.26270211901657,0.337932351994073,3.52893714988207,2009-08-06,2009
-0.0440236257412302,-4.64614815514748,5.28891249632323,-0.653839330403913,1.87246226062814,3.15411873994031,-0.19298663740945,1.75127423296245,0.391596234960787,-2.40087347247645,-0.18574948346294,-0.144341090560098,2.26546359760513,0.353806343080188,3.53023276266099,2009-08-07,2009
-0.0296165542056129,-4.65825928650932,5.29116003399576,-0.648850758409476,1.87817598638151,3.15748817451629,-0.195440150953306,1.75114630862574,0.383773403462369,-2.40907968567075,-0.196426161323073,-0.142171190899005,2.26536058528228,0.358130068790329,3.5342953656172,2009-08-10,2009
-0.0453227265052676,-4.67256540028059,5.30457668505842,-0.642534393638305,1.90283688438466,3.15391156387085,-0.187521207557254,1.75359838492157,0.382218954449958,-2.40453361130096,-0.196719423064513,-0.150982969804261,2.2614421554302,0.355910270121995,3.53372915140496,2009-08-11,2009
-0.0838030214902652,-4.65739407390202,5.28709403142599,-0.710266266419455,1.87256474226937,3.15337912781049,-0.188643153219828,1.75203221281376,0.398757196208333,-2.40454339199663,-0.199680746581588,-0.136586867156701,2.29329052172581,0.306716464616616,3.54797330838468,2009-08-12,2009
-0.094259909677346,-4.6552586241683,5.29280047848574,-0.698205294582417,1.86642747345404,3.1478131371943,-0.188589065801757,1.75293991422729,0.400550449233406,-2.41234935459518,-0.200397395700964,-0.138793791439969,2.29505684946892,0.306498834198044,3.54583496478354,2009-08-13,2009
-0.0445265093380514,-4.63102020829478,5.2639481876826,-0.799326915130599,1.7990295844606,3.14760831248953,-0.226875564258454,1.75374411270887,0.398056487281977,-2.3553793825488,-0.187176084958492,-0.122825522497955,2.28976872891285,0.338472633235917,3.55015295783654,2009-08-14,2009
-0.0255558071957726,-4.62126922272569,5.24809234709267,-0.815929299328126,1.79909162246723,3.14331629209462,-0.214041779794726,1.76862258860102,0.400174668686438,-2.3627231899371,-0.185115879412275,-0.117266280828032,2.28784692491243,0.331673548917671,3.55000814608445,2009-08-17,2009
-0.0415553920536055,-4.62149832708084,5.24973631943032,-0.819323785409114,1.79421247640119,3.14523120635428,-0.224263093511501,1.7618575580211,0.397287389226013,-2.3671214596512,-0.184638675880829,-0.117631956905624,2.28339903371715,0.339215330699372,3.55427866116923,2009-08-18,2009
-0.0217397682968953,-4.62386378909283,5.24413925000636,-0.806477553344453,1.80578669163715,3.1482630482366,-0.2183901595412,1.81144987425395,0.411520365282903,-2.36808600017362,-0.175757568524636,-0.113713155032813,2.28110641935893,0.332029931332732,3.54678293729541,2009-08-19,2009
-0.0187001825667988,-4.62827580135023,5.25231807002346,-0.804861142125051,1.80675624743515,3.15369071078106,-0.219367485096769,1.81289284906676,0.41192917023183,-2.37034675606579,-0.175895271956485,-0.114233502215104,2.28309524122636,0.331493459491238,3.55264677003063,2009-08-20,2009
-0.0452440089008275,-4.6278387073016,5.23662792731353,-0.820473993540078,1.77860224647968,3.15476888803994,-0.226810373630205,1.80953185935989,0.412461773864988,-2.37005418466068,-0.172578441792814,-0.107106490323384,2.27918826744408,0.333124307235621,3.54894697180088,2009-08-21,2009
-0.0485195001715176,-4.63211364546116,5.24331756042227,-0.824415669011777,1.77934707327515,3.15810936242885,-0.227217523918204,1.81310360421591,0.413410009139769,-2.37157836128312,-0.167177494911053,-0.109667971789645,2.28147350819008,0.333554051563737,3.55302794833424,2009-08-24,2009
-0.0746822991721284,-4.64837391039286,5.23454707738202,-0.850245057015647,1.80884952151428,3.1406061801468,-0.240866886274982,1.81813885980978,0.404525912607289,-2.34717972788361,-0.143198937904639,-0.107195287519089,2.28029011361747,0.346617831004435,3.5492350005064,2009-08-25,2009
-0.0682362163619846,-4.65512082883162,5.23890698395354,-0.850375185649719,1.81963290553384,3.14272141518146,-0.245599385090868,1.82055448614328,0.40743691617804,-2.35087173137228,-0.145271679406136,-0.100634512082625,2.28123146863773,0.344859554643592,3.55305785010575,2009-08-26,2009
-0.060100960746266,-4.65971776072917,5.24039240956162,-0.868958224299939,1.82350388446803,3.14355857877099,-0.235959755286876,1.82678538600675,0.414971475637072,-2.3507620970748,-0.148235488978805,-0.0899055463694132,2.28661407050001,0.352380540822695,3.55402408491277,2009-08-27,2009
-0.0662004361197138,-4.66372281762184,5.24430712454168,-0.864721691546508,1.83055081453402,3.14390964078928,-0.234979557388228,1.83477627497029,0.421976018589586,-2.35696344600722,-0.153814233020533,-0.0893603692228161,2.28760314947744,0.352139115834717,3.55577843094052,2009-08-28,2009
