date,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r_onfh,r_daily
2007-08-02,0.014601065670196,0.00190969854044476,0.0024506466984342,-0.00325954094798309,-0.00183948766861974,0.00197938707255485,0.00299727520435966,-0.00142624286878568,-0.00129225328164317,-0.00279215472623262,0.00204876049989755,-0.00136304777482443,-0.00122841738893065,0.00874615647420574,-0.0023030549346339,0.00436502523530202,0.00265486725663711
2007-08-03,-0.0023030549346339,-0.00108629234842827,-0.00414599333922372,-0.00143325143325146,-0.00157200464766583,0.00191675794085433,0.000751571467614065,-0.00109237386495531,-0.00177704873214402,0.00123245463882227,0.0012309375641113,-0.00867427088313644,0.000964585917045735,-0.00571310572687234,-0.00768431983385243,-0.00522778192681095,-0.025759532386325
2007-08-06,-0.00768431983385243,0.00579042835216947,-0.000346812790455564,-0.00666111573688599,0.000419111483654699,0.00453847228040782,0.0028497949537778,-0.000207929026892151,0.00429809358752165,-0.00276109615517361,-0.00269952239219207,0.00284564131038301,0.00491383486746466,0.00440771349862268,0.00637685134393862,0.00544160736709931,0.0180342651036971
2007-08-07,0.00637685134393862,-0.00626831096273095,0.00377099760027444,0.000751366120218533,-0.000409528359838984,0.00122908842608394,0.00340994339493972,0.00081560524706048,-0.00108658743633272,0.00217553878577736,0.000881894037039421,-0.00942117391893715,0.00998973657201518,0.00304857394485469,-0.0026340672700258,-0.00252095114805484,0.012478573877271
2007-08-08,-0.0026340672700258,0.00656870048080171,0.00134553283100125,0.0030233808116098,0.00214347913457047,-0.00280729897734122,-6.70286212212101e-05,0.000335165571792251,0.00127320243918772,0.00194083790657218,0.00173669093580919,0.00300060012002401,-0.00545140273899747,-0.0102272727272728,0.010603093131627,0.0079230717139569,0.00672766415500536
2007-08-09,0.010603093131627,-0.0147019513499064,0.00230602278893111,0.00270672621464341,-0.000472398434336552,0.000405104314360694,-0.000674900452183214,0.000337678125211127,-0.00472589792060507,-0.00176366843033504,0.00298994291927146,-0.0046070460704607,-0.00401579090661563,0.00211849928244368,-0.00627386797599561,-0.0124298315958299,-0.0116657623440043
2007-08-10,-0.00627386797599561,-0.0122152072467746,0.0022926219258026,-0.00464407014625368,0.000696378830083555,0.00327070285316622,0.00561836720538245,0.00620775279348873,-0.00788319166438167,0.00248739031299672,-0.00296367771727901,0,-0.00172819023918158,0.00830967384530168,-0.00048073621317235,-0.00995059017293431,0.011115742670557
2007-08-13,-0.00048073621317235,0.00707709220832764,-0.00231971071842807,0.00239348970799447,-0.00225133033155966,0.00184615384615383,0.000750750750750706,-0.00334174452704095,0.000478992746681506,-0.0024622118870119,0.00246828933836141,0.00164147459134112,-0.00225332878115392,0.000205310703531358,-0.00444748546014373,0.00474096468324858,-0.00730026608446477
2007-08-14,-0.00444748546014373,0.000618556701031059,-0.00109897657806168,-0.0068761603520594,-0.00276950772000284,-0.00215232937582455,0.00563595880879486,-0.0019373140524459,0.000901213171577098,-0.0029089901648427,-0.00194498471797722,-0.000417594654788411,-0.00181033282272658,0.00223214285714279,-0.0064031180400892,-0.000481099656357342,-0.0194381482244661
2007-08-15,-0.0064031180400892,-0.000700476323900245,0.00455628767699423,0.00690810131881947,-0.00505890505890516,0.00167165842446204,-0.00625825742298869,0.00153943041074811,0.000698665548801713,0.00216435104377566,0.00257767869583403,-0.00493363907998057,-0.00530726256983238,-0.00652906486941873,-0.00431064942406889,0.00385261978145146,-0.0123370250946305
2007-08-16,-0.00431064942406889,-0.00943931866572045,0.00100308089130907,-0.00551141650561882,0.00424643731106955,0.000143338350175659,-0.00308133285560741,-0.00546290971822883,-0.00585429314830876,0.00610687022900747,0.00643110051304285,0.00481045376220557,-0.00192926045016062,0,0.014676403207331,-0.00844570617459184,0.0154761051801964
2007-08-17,0.014676403207331,0.0244831722288859,-0.00709366391184574,-0.00520219185683568,-0.00223120903639651,0.00146750524109018,0.00062800921080175,0.00174337517433742,0,0.00452488687782804,-0.00180180180180189,-0.000347125798389247,0.000902840475032862,0.00263669164585068,0.00166089965397931,0.0172158329217527,-0.00316804407713489
2007-08-21,0.00166089965397931,-0.0018654138455162,0.00353014466671264,-0.00269002621051173,0.00186734905595132,0.00131161121082424,0.00337814546708026,0.000412257798543481,-0.0026098901098901,0.000482027268971175,-0.00144538509188508,0.000137854976564489,-0.00144727773949005,0.000621160880668103,-0.000344875155193658,0.00158894645941277,0.00318405205232919
2007-08-22,-0.000344875155193658,0.00841785689643282,0.00095791994526162,0,-0.000273429489370369,-0.00191452991452989,0.00102760841268767,-0.00150561182589648,-0.00116518163125434,-0.000205860152336479,0.00301990391214813,-0.00335294922676876,0.00240302094061096,0.00212328767123293,0.00239218098557847,0.00938384047471175,0.00348956551488189
2007-08-23,0.00239218098557847,0.0057275330696851,-0.00481355932203398,-0.00074936984808216,0.00149986364875909,-0.00374404356705249,-0.00368978476255544,0.00171456004389281,-0.0022593454744626,0.00034310025389428,0.00384140485663331,0.000410004100040995,-0.00198087431693983,0.00253233864896285,0.000614418350628032,0.000886403927451207,-0.00630508474576275
2007-08-24,0.000614418350628032,-0.000136453571672135,-0.000136472193790538,0.00150139903091517,-0.000885860306643949,0.000818442231619088,0.00163554586343184,0.00204109402639818,-6.78978815860098e-05,0.00108643987234336,0,0.000339144000542468,0.00318687279631136,-0.0012166272389319,0.00263923665155308,-0.000272907143344381,0.0109860116001363
2007-08-27,0.00263923665155308,-0.00236231101511875,-0.000608889790947864,-0.00182778229082059,-0.000406917599186207,-0.0013569441617477,0.000543515184455501,0.000407414952128704,-0.00033937419398633,0.00135795763172175,-0.00162733930024395,0.0017658245042107,-0.00108474576271189,-0.000542961856929591,-0.00230884150482147,-0.00296976241900648,-0.00602124348826205
2007-08-28,-0.00230884150482147,-0.0049686904437789,-0.00273616526438203,-0.000411550860827226,-0.00192136142180743,-0.00130629082158817,-0.0016522098306484,0.000827472072817415,0.000757888934821649,-0.000619621342512922,0.00117112152108034,-0.00185784077616469,-0.00324003860471533,-0.00248979874126853,-0.00395202107744574,-0.00769126054995917,-0.0173062452972159
