"date","r_onfh"
2007-08-01,NA
2007-08-02,0.00436502523530202
2007-08-03,-0.00522778192681095
2007-08-06,0.00544160736709931
2007-08-07,-0.00252095114805484
2007-08-08,0.0079230717139569
2007-08-09,-0.0124298315958299
2007-08-10,-0.00995059017293431
2007-08-13,0.00474096468324858
2007-08-14,-0.000481099656357342
2007-08-15,0.00385261978145146
2007-08-16,-0.00844570617459184
2007-08-17,0.0172158329217527
2007-08-20,-0.000138178803371636
2007-08-21,0.00158894645941277
2007-08-22,0.00938384047471175
2007-08-23,0.000886403927451207
2007-08-24,-0.000272907143344381
2007-08-27,-0.00296976241900648
2007-08-28,-0.00769126054995917
2007-08-29,0.00424613671168039
2007-08-30,-0.00449867084724964
2007-08-31,0.0106062679622281
2007-09-04,0.00488234895232931
2007-09-05,-0.00837633183676201
2007-09-06,0.000338845215505534
2007-09-07,-0.0118702367302894
2007-09-10,0.000891387822270939
2007-09-11,0.00762834169472892
2007-09-12,6.7732321864078e-05
2007-09-13,0.00568951503657544
2007-09-14,-0.00497278408709101
2007-09-17,-0.00369325812516774
2007-09-18,0.00330790521838931
2007-09-19,0.00872703412073483
2007-09-20,-0.0023472647845082
2007-09-21,-6.56469506992163e-05
2007-09-24,-0.00164182045051553
2007-09-25,-0.00534477070273842
2007-09-26,0.0028358504253776
2007-09-27,0.00177200236266972
2007-09-28,0.000261523373651595
2007-10-01,0.00452548042237821
2007-10-02,-0.00122961428941237
2007-10-03,-0.00602214595609663
2007-10-04,-0.0003250975292588
2007-10-05,0.00499481058640372
2007-10-08,-0.00199228791773776
2007-10-09,0.001933114247052
2007-10-10,-0.00396394092449337
2007-10-11,0.00596039223226308
2007-10-12,0.00167374790781505
2007-10-15,-0.00173021467478374
2007-10-16,-0.00400439191371182
2007-10-17,0.0059833506763789
2007-10-18,-0.00421995715120438
2007-10-19,-0.00617604992848775
2007-10-22,-0.00220044008801767
2007-10-23,0.0045155720831398
2007-10-24,-0.00440934517933522
2007-10-25,-0.0043547110055423
2007-10-26,0.00872381204150408
2007-10-29,0.00462691430433382
2007-10-30,-0.00311688311688307
2007-10-31,0.0040506990722593
2007-11-01,-0.0137596899224808
2007-11-02,-0.00477516912057296
2007-11-05,-0.0061540497617788
2007-11-06,0.00512683933683999
2007-11-07,-0.00900782431455061
2007-11-08,0.00155847675836829
2007-11-09,-0.0136921304141531
2007-11-12,0.00247814414538428
2007-11-13,0.0111118827696368
2007-11-14,0.00310391363022955
2007-11-15,-0.0019714479945615
2007-11-16,-0.000275197798417559
2007-11-19,-0.00794302930703916
2007-11-20,0.00884770795597056
2007-11-21,-0.00776699029126193
2007-11-23,0.00839150976658898
2007-11-26,0.0061835614534842
2007-11-27,0.00830965909090908
2007-11-28,0.0146760779928716
2007-11-29,-0.00427843803056027
2007-11-30,0.0110002037074759
2007-12-03,-0.00410940447318775
2007-12-04,-0.00406641816333464
2007-12-05,0.0103711790393013
2007-12-06,0.00201531640467545
